Well,Gene
F02,01_ABCA1
C05,11_ARHGEF12
G09,22_EMCN
D04,23_EMID1
F03,24_ETS1
C08,29_FNDC3B
D06,30_GAS7
D08,31_GNB1L
G03,37_MECOM
B09,39_PARD3B
D09,47_SPTBN1
F11,54_ZNF280D
D10,56_TEX41
B05,57_Human_0001
G07,58_Human_0003
C07,59_Human_0005
C06,60_Human_0007
E08,61_Human_0009
E09,01_ABCA1
E07,11_ARHGEF12
C02,22_EMCN
D11,23_EMID1
E11,24_ETS1
F04,29_FNDC3B
D07,30_GAS7
C09,31_GNB1L
E04,37_MECOM
B06,39_PARD3B
F08,47_SPTBN1
C04,54_ZNF280D
B10,56_TEX41
E06,57_Human_0001
C03,58_Human_0003
E03,59_Human_0005
E02,60_Human_0007
D03,61_Human_0009
B03,01_ABCA1
B07,11_ARHGEF12
F06,22_EMCN
C10,23_EMID1
C11,24_ETS1
D02,29_FNDC3B
D05,30_GAS7
E05,31_GNB1L
E10,37_MECOM
F05,39_PARD3B
B08,47_SPTBN1
F07,54_ZNF280D
F09,56_TEX41
F10,57_Human_0001
G04,58_Human_0003
G06,59_Human_0005
G08,60_Human_0007
G10,61_Human_0009
